FLAG,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_Mins,Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
0,7428.72,7515.63,327558.93,36,8,0,2,13,1.09,27.99,10.719747,0.0,11.0,2.381361,0.0,0.0,85.729,85.75797812,0.0,0.02897812,26,35389.83084,14756.87046,0.0,5,10,0,9,0.0,20180.614,3538.983084,110.870461,999.0,922.304404,1,9,Golem,Golem
0,0.0,1679.74,226764.6,0,135,1,4,0,0.0,2.11517,0.662337,0.0,0.0,0.0,0.0,0.0,0.0,89.41544185,0.0,89.41544185,2,2.386927304,0.0,0.0,0,2,0,2,0.900521,1.486406,1.193464,0.0,0.0,0.0,0,2,No Token Usage,OmiseGO
0,120887.91,0.0,362663.73,3,0,0,0,3,0.0,0.0,0.0,0.0,0.007124,0.002375,0.0,0.0,0.00712418,0.0,0.0,-0.00712418,2,2.81e-12,2.81e-12,0.0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,TAAS,TAAS
0,0.0,0.0,2.35,1,1,0,1,1,2.325925,2.325925,2.325925,2.325139,2.325139,2.325139,0.0,0.0,2.32513936,2.32592542,0.0,0.00078606,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
1,0.0,95.46,6550.98,1,27,0,25,1,0.0,3.99,0.69388,18.734346,18.734346,18.734346,0.0,0.0,18.73434608,18.73476608,0.0,0.00042,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,43.32,30049.4,60185.43,2,2,0,2,1,4.116176,9.99,7.053088,4.113132,9.985357,7.049245,0.0,0.0,14.09848912,14.10617613,0.0,0.00768701,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
1,0.0,0.0,1648.68,1,1,0,1,1,0.1,0.1,0.1,0.09845,0.09845,0.09845,0.0,0.0,0.09845,0.1,0.0,0.00155,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,0.0,56894.54,170683.62,0,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24997.8,24997.8,0.0,1,1,0,1,1001.0,20000.0,8332.6,1001.0,20000.0,8332.6,1,1,WINGS,WINGS
0,0.0,13338.58,226755.85,0,17,1,7,0,0.0,10.279458,3.223047,0.0,0.0,0.0,0.0,0.0,0.0,54.79179592,0.0,54.79179592,3,7.258966332,0.0,0.0,0,3,0,3,0.891957,5.0,2.419655,0.0,0.0,0.0,0,3,No Token Usage,DATAcoin
0,0.0,0.0,1766.52,0,1,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0,1.0000001,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,1644.84,10597.74,837697.67,316,30,6,18,40,0.0,209.0,30.688046,0.0,210.0,3.072998,0.0,0.0,971.0672451,920.6413758,0.0,-50.42586932,69,102376134.5,1004207414.0,0.0,23,18,0,13,0.0,100000000.0,3102307.107,0.0,999000000.0,27894650.4,11,13,Decentraland,Others
0,0.0,0.0,674.95,1,1,0,1,1,3.0,3.0,3.0,2.99938,2.99938,2.99938,0.0,0.0,2.99938,3.0,0.0,0.00062,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
1,0.0,190.62,3463.1,1,14,0,13,1,0.0037,2.511953,0.975157,13.1422,13.1422,13.1422,0.0,0.0,13.14219986,13.65219986,0.0,0.51,2,1.337,0.0,0.0,0,2,0,2,0.0,1.337,0.6685,0.0,0.0,0.0,0,2,No Token Usage,Blockwell say NOTSAFU
0,36.59,0.23,73.65,2,2,0,2,2,45.569526,55.430474,50.5,44.44,56.558992,50.499496,0.0,0.0,100.998992,101.0,0.0,0.001008,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,4.74,0.42,15.07,3,2,0,2,3,561.889687,1439.110313,1000.5,0.009531,1488.600515,666.999528,0.0,0.0,2000.998585,2001.0,0.0,0.001414909,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
1,0.0,0.0,2171.17,1,1,0,1,1,0.386582,0.386582,0.386582,0.386456,0.386456,0.386456,0.0,0.0,0.38645578,0.38658178,0.0,0.000126,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,1789.22,39237.54,247949.8,7,6,0,5,2,0.049076,2.462906,1.201659,0.001284,3.386977,1.02953,0.0,0.0,7.20670954,7.20995241,0.0,0.00324287,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,0.0,824.57,226756.63,0,275,1,7,0,0.0,17.687756,1.30568,0.0,0.0,0.0,0.0,0.0,0.0,359.061997,0.0,359.061997,2,5.345209069,0.0,0.0,0,2,0,2,0.782562,4.562647,2.672605,0.0,0.0,0.0,0,2,No Token Usage,DATAcoin
1,10949.39,461.93,52574.23,4,19,0,11,4,0.0,20.0,1.531105,2.0,9.08174,7.270435,0.0,0.0,29.08174,29.091,0.0,0.00926,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,0.0,0.0,363.42,1,1,0,1,1,6.0,6.0,6.0,5.99938,5.99938,5.99938,0.0,0.0,5.99938,6.0,0.0,0.00062,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,14.91,9914.87,287963.8,29,29,0,4,1,0.368272,8.478365,2.233118,0.364503,8.477365,2.232349,0.0,0.0,64.73811194,64.76041566,0.0,0.022303721,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,25627.6,13911.96,283365.9,4,13,0,5,1,0.2394,8.52485,2.689647,0.000426,30.100695,8.740763,0.0,0.0,34.96305219,34.96541469,0.0,0.0023625,2,30.10114691,0.0,0.0,0,2,0,2,0.0,30.101147,15.050573,0.0,0.0,0.0,0,2,No Token Usage,INS Promo
0,3.52,1384.32,2775.67,2,2,0,2,2,0.065726,0.208,0.136863,0.065254,0.207559,0.136407,0.0,0.0,0.272813264,0.2737259,0.0,0.000912636,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
1,0.0,0.0,3808.77,1,1,0,1,1,0.5,0.5,0.5,0.499,0.499,0.499,0.0,0.0,0.499,0.5,0.0,0.001,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,50723.92,9654.82,934645.53,15,18,0,13,9,0.028007,5.005648,0.391943,0.025,2.789456,0.286725,0.0,0.0,4.300868537,7.05497541,0.0,2.754106873,9,476.8822955,0.0,0.0,0,7,0,9,0.0,405.323782,52.986922,0.0,0.0,0.0,0,9,No Token Usage,Livepeer Token
0,163.77,0.0,327.53,2,1,0,1,2,101.0,101.0,101.0,0.5,100.499016,50.499508,0.0,0.0,100.9990158,101.0,0.0,0.000984218,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,56.72,68.58,683299.38,210,9790,0,44,4,0.0019,29.251548,1.35839,1.284965,515.257339,61.647869,0.0,0.0,12946.05249,13298.64241,0.0,352.5899157,37,1027359.177,100.0,0.0,1,28,0,35,0.0,994619.0,28537.75492,100.0,100.0,100.0,1,35,blockwell.ai KYC Casper Token,WisePlat Token
0,0.0,0.0,4.28,1,1,0,1,1,9.0,9.0,9.0,8.99938,8.99938,8.99938,0.0,0.0,8.99938,9.0,0.0,0.00062,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,No Token Usage,No Token Usage
0,3896.28,13188.17,319504.77,38,13,0,10,14,0.0,15.88535,2.516769,0.0,10.0,1.004044,0.0,0.0,38.15368626,32.71799175,0.0,-5.435694508,25,12250.86039,9250.269907,0.0,2,9,0,9,0.01,5384.38,720.638846,0.05,5384.38,1156.283738,7,9,Veritaseum,Others
